snapshot_time_utc,game_name,stream_id,user_id,user_login,user_name,title,viewer_count,started_at,language,thumbnail_url,is_mature
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,315506330066,579549911,icy2spicyyy,icy2spicyyy,❄️R6 SIEGE TOURNAMENT❄️TINDER RIZZING//CLIPS + PRO CLUBS PROMOTIONS❄️ JOIN UP IF YOU WANT ❄️ !discord !ubi !club,23,2026-05-01T17:57:37Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_icy2spicyyy-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,317144539621,153047400,reaxysr6s,ReaxysR6s,[EU🌺20x Champ]🔴Actively Unc'ing it🔴AREYOUENTERTAINEDYET🔴 67 Subs = 24h Stream 🔴@ReaxysR6s | !twitter !YouTube #UbisoftPartner,22,2026-05-01T13:23:01Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_reaxysr6s-{width}x{height}.jpg,True
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,317918474228,196218394,luixxgod,luixxgod,RANKEDX - !sorteio !pix !video !setup !randometro #FaZeUp,21,2026-05-01T14:55:40Z,pt,https://static-cdn.jtvnw.net/previews-ttv/live_user_luixxgod-{width}x{height}.jpg,True
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,317146019301,429611106,blisk_y,Blisk_y,من عاشر يوما اصبحين قوما اربع منهم,20,2026-05-01T15:40:21Z,ar,https://static-cdn.jtvnw.net/previews-ttv/live_user_blisk_y-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,316994250215,1180155410,ishvkk,ishvkk,TOP 10 RN CHAMP RANKED  !Sens !boost,20,2026-05-01T16:36:40Z,de,https://static-cdn.jtvnw.net/previews-ttv/live_user_ishvkk-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,316650029027,688603525,anaaaaagg,anaaaaagg,ROAD TO PLASTICO 4 |🩷RANKEDS🩷| |REDES| ► @anaaaaagg 🌷,20,2026-05-01T13:57:34Z,es,https://static-cdn.jtvnw.net/previews-ttv/live_user_anaaaaagg-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,319041194970,1213750714,kinggeorgeoffline,KingGeorgeOffline,"[WaitingRoom] Level 3,500-ExPro-Champion | Buy a !bidet | !charm !youtube !socials",20,2026-04-30T07:37:48Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_kinggeorgeoffline-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,315593324522,513318695,mchillibunny,今晚麻辣锅,【麻辣锅】没睡醒(＃＞＜),18,2026-05-01T16:28:23Z,zh,https://static-cdn.jtvnw.net/previews-ttv/live_user_mchillibunny-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,315888598643,60722165,fablenini,菲波妮妮,0501❆終於有R6可以打耶比耶比,18,2026-05-01T13:39:06Z,zh,https://static-cdn.jtvnw.net/previews-ttv/live_user_fablenini-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,315571269353,32018855,eugenequikz,eugenequikz,R6 CAS,18,2026-05-01T12:56:31Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_eugenequikz-{width}x{height}.jpg,True
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,315889052915,1065146590,touka_emogi,えもぎ燈花,【R6S/🤔】 今日は,17,2026-05-01T15:00:07Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_touka_emogi-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,315593458666,582388023,iitzsuli,iiTzSuli,|NBS Esports Vs Looking For Jobs | Sub-Saharan African League | Division 1 | Match Day 4 | [Stream Delay],17,2026-05-01T17:26:14Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_iitzsuli-{width}x{height}.jpg,True
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,318387781596,178139217,icecold,IceCold,🔵 EARLY RANKED WITH BEAULO STACK OMG🔵 | !SUB FOR !CHARM | !statscc !sleeve 🔵,17,2026-05-01T18:00:35Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_icecold-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,315571505897,460289543,itspogyy,itspogyy,typed up hinge but it recommended me grinder…,17,2026-05-01T13:56:24Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_itspogyy-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,316995456487,709135191,derechtekaraa,derechtekaraa,⚡ Ranked Champ #Top100 | Neue Subs 💜 | !PSN | Giveaway 🎁,16,2026-05-01T18:03:34Z,de,https://static-cdn.jtvnw.net/previews-ttv/live_user_derechtekaraa-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,317616295639,1401056114,konakiss,KonaKiss,🐍MUST REALLY HATE MYSELF TODAY🐍Lobbies Open🐍!sr for SUBS ONLY🐍!discord !8ball !dadjoke🐍,15,2026-05-01T16:30:03Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_konakiss-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,315528928467,196208763,kudos,Kudos,Y11S1.3 PATCH IS COMING! !gamersupps !flexo,15,2026-05-01T16:50:02Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_kudos-{width}x{height}.jpg,True
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,318998036697,427329543,lonnielightning,LonnieLightning,Chillist dude in R6...50 more games until i'm un-banned. !socials,15,2026-05-01T15:19:00Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_lonnielightning-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,315529733480,1307254700,n8_8e,n8_8e,| NBS vs Rizzlers | NBS eSports League | DIVISION 1 | plz follow :P |,15,2026-05-01T17:52:20Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_n8_8e-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,315828031473,152268356,aokayu,Aokayu,【R6S】ランク @X （体調悪め）,14,2026-05-01T18:04:08Z,ja,https://static-cdn.jtvnw.net/previews-ttv/live_user_aokayu-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,316651060195,196984386,aetji,aetji,[FR/EN] 🌸 road to champ,14,2026-05-01T15:50:37Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_aetji-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,316634434276,62781195,papygun,Papygun,CLassée de l'enfer #R6S #R6,14,2026-05-01T17:05:24Z,fr,https://static-cdn.jtvnw.net/previews-ttv/live_user_papygun-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,315506244178,1164228472,smerkle_,smerkle_,Siege! popping skulls! new season when?,14,2026-05-01T17:30:16Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_smerkle_-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,317616415703,1092890208,octopog,octopog,(18+) Emo Chick Runs Siege.,13,2026-05-01T16:51:12Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_octopog-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,317147170149,638119629,tasting_anton,tasting_anton,erstes mal r6,13,2026-05-01T17:10:22Z,de,https://static-cdn.jtvnw.net/previews-ttv/live_user_tasting_anton-{width}x{height}.jpg,True
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,315992822740,70168022,krasmi,Krasmi,🎁❗Tonni🎁► KLARNA VAPPEN ► SIEGESTÄ ON TULLU WOKE⁉️ ►  Event Ja !Drops Pian  ►❗fish❗website❗merch❗strafe❗throne,13,2026-05-01T12:31:56Z,fi,https://static-cdn.jtvnw.net/previews-ttv/live_user_krasmi-{width}x{height}.jpg,True
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,317616611543,574951437,pupeteir,PUPETEIR,😎🎮 Friday Vibes {R6} 🎮😎,13,2026-05-01T17:20:18Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_pupeteir-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,316651330787,200882395,shalomr6,ShalomR6,🔴Top 10  champ ranked vs cheaters/ai 🔴 Sub = No Ads,13,2026-05-01T16:16:12Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_shalomr6-{width}x{height}.jpg,False
2026-05-01_181607,Tom Clancy's Rainbow Six Siege,317616048343,1158856351,keepit100dreww,keepit100dreww,FOLLOW=BLINKER SO CLOSE TO 1K FOLLOWS !!!!!!!!!!!!!!!,12,2026-05-01T15:41:42Z,en,https://static-cdn.jtvnw.net/previews-ttv/live_user_keepit100dreww-{width}x{height}.jpg,False
